#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_colonian_empire;Coloniska imperiet;;;"_CONCATENATE(""b"";RIGHT($A104;LEN($A104)-1);""_"";B$103)";;;;;;;;;;x
k_consaber;Consaber;;;;;;;;;;;;;x
k_thalamur;Thalamur;;;;;;;;;;;;;x
k_tokon;Tokon;;;;;;;;;;;;;x
d_alarinn;Alarinn;;;;;;;;;;;;;x
d_ara;Ara;;;;;;;;;;;;;x
d_calana;Calana;;;;;;;;;;;;;x
d_colonan;Colonan;;;;;;;;;;;;;x
d_egor;Egor;;;;;;;;;;;;;x
d_ifka;Ifka;;;;;;;;;;;;;x
d_ivani;Ivani;;;;;;;;;;;;;x
d_kovos;Kovos;;;;;;;;;;;;;x
d_negaidh;Negaidh;;;;;;;;;;;;;x
d_nensema;Nensema;;;;;;;;;;;;;x
d_pereine;Pereine;;;;;;;;;;;;;x
d_sava;Sava;;;;;;;;;;;;;x
d_taga;Taga;;;;;;;;;;;;;x
d_tokon;Tokon;;;;;;;;;;;;;x
d_turina;Turin;;;;;;;;;;;;;x
d_uriens;Uriens;;;;;;;;;;;;;x
c_abin_ramadh;Abin-Ramadh;;;;;;;;;;;;;x
c_abin_thukor;Abin-Thukor;;;;;;;;;;;;;x
c_adaluth;Adaluth;;;;;;;;;;;;;x
c_agant;Agant;;;;;;;;;;;;;x
c_ailleidh;Ailleidh;;;;;;;;;;;;;x
c_alcheg;Alcheg;;;;;;;;;;;;;x
c_alni;Alni;;;;;;;;;;;;;x
c_arah;Arah;;;;;;;;;;;;;x
c_arakh;Arakh;;;;;;;;;;;;;x
c_arsacke;Arsacke;;;;;;;;;;;;;x
c_balon;Balon;;;;;;;;;;;;;x
c_baton;Baton;;;;;;;;;;;;;x
c_calnia;Calnia;;;;;;;;;;;;;x
c_colm;Colm;;;;;;;;;;;;;x
c_colonan;Colonan;;;;;;;;;;;;;x
c_cralo;Cralo;;;;;;;;;;;;;x
c_creten;Cretén;;;;;;;;;;;;;x
c_debhean;Debhean;;;;;;;;;;;;;x
c_drakskogarna;Drakskogarna;;;;;;;;;;;;;x
c_draktemplet;Draktemplet;;;;;;;;;;;;;x
c_dubaral;Dubaral;;;;;;;;;;;;;x
c_ebrin;Ebrin;;;;;;;;;;;;;x
c_eirach;Eirach;;;;;;;;;;;;;x
c_el_egor;El'egor;;;;;;;;;;;;;x
c_el_ivani;El'ivani;;;;;;;;;;;;;x
c_eovir;Eovir;;;;;;;;;;;;;x
c_es_holi;Es'holi;;;;;;;;;;;;;x
c_feleidh;Feleidh;;;;;;;;;;;;;x
c_felosi;Felosi;;;;;;;;;;;;;x
c_firina;Firina;;;;;;;;;;;;;x
c_flarne;Flarne;;;;;;;;;;;;;x
c_hoglanden;Höglanden;;;;;;;;;;;;;x
c_horta;Horta;;;;;;;;;;;;;x
c_ifar;Ifar;;;;;;;;;;;;;x
c_ifkhor;Ifkhor;;;;;;;;;;;;;x
c_ikrem;Ikrem;;;;;;;;;;;;;x
c_intouk;Intouk;;;;;;;;;;;;;x
c_ireda;Ireda;;;;;;;;;;;;;x
c_ivida;Ivida;;;;;;;;;;;;;x
c_kholon;Kholon;;;;;;;;;;;;;x
c_khor;Khor;;;;;;;;;;;;;x
c_khovsosh;Khovsosh;;;;;;;;;;;;;x
c_laerm;Laerm;;;;;;;;;;;;;x
c_mashoro;Mashoro;;;;;;;;;;;;;x
c_nantien;Nantien;;;;;;;;;;;;;x
