#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV0;Unknown;;;;;;;;;;;;;x
PROV1;Colm;;;;;;;;;;;;;x
PROV2;Dann;;;;;;;;;;;;;x
PROV3;Varna;;;;;;;;;;;;;x
PROV4;Drafe;;;;;;;;;;;;;x
PROV5;Nensema;;;;;;;;;;;;;x
PROV6;Nann;;;;;;;;;;;;;x
PROV7;Bret;;;;;;;;;;;;;x
PROV8;Marnoc;;;;;;;;;;;;;x
PROV9;Finvarik;;;;;;;;;;;;;x
PROV10;Alarik;;;;;;;;;;;;;x
PROV11;Rim;;;;;;;;;;;;;x
PROV12;Meredith;;;;;;;;;;;;;x
PROV13;Iriant;;;;;;;;;;;;;x
PROV14;Myndar;;;;;;;;;;;;;x
PROV15;Treigh;;;;;;;;;;;;;x
PROV16;Grike;;;;;;;;;;;;;x
PROV17;Laerika;;;;;;;;;;;;;x
PROV18;Laer;;;;;;;;;;;;;x
PROV19;Negan;;;;;;;;;;;;;x
PROV20;Ramnesney;;;;;;;;;;;;;x
PROV21;Wella;;;;;;;;;;;;;x
PROV22;Thia;;;;;;;;;;;;;x
PROV23;Fhix;;;;;;;;;;;;;x
PROV24;Ghia;;;;;;;;;;;;;x
PROV25;Kiril;;;;;;;;;;;;;x
PROV26;Vimbern;;;;;;;;;;;;;x
PROV27;Korina;;;;;;;;;;;;;x
PROV28;Tuirn;;;;;;;;;;;;;x
PROV29;Turina;;;;;;;;;;;;;x
PROV30;Fen;;;;;;;;;;;;;x
PROV31;Salni;;;;;;;;;;;;;x
PROV32;Dunres;;;;;;;;;;;;;x
PROV33;Ehgine;;;;;;;;;;;;;x
PROV34;Ornia;;;;;;;;;;;;;x
PROV35;Rebenn;;;;;;;;;;;;;x
PROV36;Arsacke;;;;;;;;;;;;;x
PROV37;Regant;;;;;;;;;;;;;x
PROV38;Faimon;;;;;;;;;;;;;x
PROV39;Mirnas;;;;;;;;;;;;;x
PROV40;Aganne;;;;;;;;;;;;;x
PROV41;Mela;;;;;;;;;;;;;x
PROV42;Negaidh;;;;;;;;;;;;;x
PROV43;Serurik;;;;;;;;;;;;;x
PROV44;Nana;;;;;;;;;;;;;x
PROV45;Calo;;;;;;;;;;;;;x
PROV46;Fene;;;;;;;;;;;;;x
PROV47;Saiwick;;;;;;;;;;;;;x
PROV48;Lareigh;;;;;;;;;;;;;x
PROV49;Deber;;;;;;;;;;;;;x
PROV50;Ybersiel;;;;;;;;;;;;;x
PROV51;Nelos;;;;;;;;;;;;;x
PROV52;Alcheg;;;;;;;;;;;;;x
PROV53;Euter;;;;;;;;;;;;;x
PROV54;Fella;;;;;;;;;;;;;x
PROV55;Urekeny;;;;;;;;;;;;;x
PROV56;Alantulw;;;;;;;;;;;;;x
PROV57;Fileigh;;;;;;;;;;;;;x
PROV58;Irinn;;;;;;;;;;;;;x
PROV59;Rebera;;;;;;;;;;;;;x
PROV60;Picarel;;;;;;;;;;;;;x
PROV61;Cralann;;;;;;;;;;;;;x
PROV62;Orvina;;;;;;;;;;;;;x
PROV63;Kredant;;;;;;;;;;;;;x
PROV64;Agant;;;;;;;;;;;;;x
PROV65;Oldell;;;;;;;;;;;;;x
PROV66;Ulw;;;;;;;;;;;;;x
PROV67;Turika;;;;;;;;;;;;;x
PROV68;Elara;;;;;;;;;;;;;x
PROV69;Sema;;;;;;;;;;;;;x
PROV70;Narec;;;;;;;;;;;;;x
PROV71;Cresnarney;;;;;;;;;;;;;x
PROV72;Negellense;;;;;;;;;;;;;x
PROV73;Hesne;;;;;;;;;;;;;x
PROV74;Sara;;;;;;;;;;;;;x
PROV75;Calnia;;;;;;;;;;;;;x
PROV76;Alchegel;;;;;;;;;;;;;x
PROV77;Aladene;;;;;;;;;;;;;x
PROV78;Tesel;;;;;;;;;;;;;x
PROV79;Aliana;;;;;;;;;;;;;x
PROV80;Emnau;;;;;;;;;;;;;x
PROV81;Grikentulw;;;;;;;;;;;;;x
PROV82;Rimon;;;;;;;;;;;;;x
PROV83;Dunbaton;;;;;;;;;;;;;x
PROV84;Jaimon;;;;;;;;;;;;;x
PROV85;Kardor;;;;;;;;;;;;;x
PROV86;Negel;;;;;;;;;;;;;x
PROV87;Kalo;;;;;;;;;;;;;x
PROV88;Uriens;;;;;;;;;;;;;x
PROV89;Belos;;;;;;;;;;;;;x
PROV90;Firina;;;;;;;;;;;;;x
PROV91;Herika;;;;;;;;;;;;;x
PROV92;Mater;;;;;;;;;;;;;x
PROV93;Rinya;;;;;;;;;;;;;x
PROV94;Welea;;;;;;;;;;;;;x
PROV95;Silersham;;;;;;;;;;;;;x
PROV96;Salston Tor;;;;;;;;;;;;;x
PROV97;Ebréan;;;;;;;;;;;;;x
PROV98;Tene;;;;;;;;;;;;;x
PROV99;Skenetrip;;;;;;;;;;;;;x
PROV100;Dunreith;;;;;;;;;;;;;x
PROV101;Intouk;;;;;;;;;;;;;x
PROV102;Lewain;;;;;;;;;;;;;x
PROV103;Owaidh;;;;;;;;;;;;;x
PROV104;Rinntok;;;;;;;;;;;;;x
PROV105;Eirach;;;;;;;;;;;;;x
PROV106;Feleidh;;;;;;;;;;;;;x
PROV107;Tir Nieri;;;;;;;;;;;;;x
PROV108;Inniutok;;;;;;;;;;;;;x
PROV109;Debhean;;;;;;;;;;;;;x
PROV110;Alantulw;;;;;;;;;;;;;x
PROV111;Sliabh;;;;;;;;;;;;;x
PROV112;Feeves;;;;;;;;;;;;;x
PROV113;Ailleidh;;;;;;;;;;;;;x
PROV114;Craigfáan;;;;;;;;;;;;;x
PROV115;Tain;;;;;;;;;;;;;x
PROV116;Pithain;;;;;;;;;;;;;x
PROV117;Ilaidh;;;;;;;;;;;;;x
PROV118;Usiarach;;;;;;;;;;;;;x
PROV119;Foradrach;;;;;;;;;;;;;x
PROV120;Dáldrach;;;;;;;;;;;;;x
PROV121;Niéfinse;;;;;;;;;;;;;x
PROV122;Mùlaigh;;;;;;;;;;;;;x
PROV123;Chuana;;;;;;;;;;;;;x
PROV124;Kentai'y;;;;;;;;;;;;;x
PROV125;Kinyen Sina;;;;;;;;;;;;;x
PROV126;Västlanden;;;;;;;;;;;;;x
PROV127;Samaidh;;;;;;;;;;;;;x
PROV128;Alaripasset;;;;;;;;;;;;;x
PROV129;Síanskogen;;;;;;;;;;;;;x
PROV130;Silarna;;;;;;;;;;;;;x
PROV131;Síana;;;;;;;;;;;;;x
PROV132;Sydlanden 1;;;;;;;;;;;;;x
PROV133;Tileinn;;;;;;;;;;;;;x
PROV134;Sydlanden 3;;;;;;;;;;;;;x
PROV135;Nan'sela;;;;;;;;;;;;;x
PROV136;Kholon;;;;;;;;;;;;;x
PROV137;Kholonmassivet;;;;;;;;;;;;;x
PROV138;Rubis;;;;;;;;;;;;;x
PROV139;Victaron;;;;;;;;;;;;;x
PROV140;Apax;;;;;;;;;;;;;x
PROV141;Shia;;;;;;;;;;;;;x
PROV142;Polon;;;;;;;;;;;;;x
PROV143;Colonan;;;;;;;;;;;;;x
PROV144;Qatada;;;;;;;;;;;;;x
