#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
emperor_neromenzer;Högste Magikrat;;;;;;;;;;;;;
emperor_female_neromenzer;Högste Magikrat;;;;;;;;;;;;;
king_neromenzer;Magikrat;;;;;;;;;;;;;
king_female_neromenzer;Magikrat;;;;;;;;;;;;;
duke_neromenzer;Storprimas;;;;;;;;;;;;;
duke_female_neromenzer;Storprimas;;;;;;;;;;;;;
count_neromenzer;Primas;;;;;;;;;;;;;
count_female_neromenzer;Primas;;;;;;;;;;;;;
count_cirefalier;Kurfurst;;;;;;;;;;;;;
count_cirefalier_female;Kurfurstinna;;;;;;;;;;;;;
city_baron_daak;Markis;;;;;;;;;;;;;
city_baron_daak_female;Markisinna;;;;;;;;;;;;;
temple_baron_daak;Primod;;;;;;;;;;;;;
king_tokon;Ard Righ;;;;;;;;;;;;;
king_tokon_female;Ard Righ;;;;;;;;;;;;;
emperor;Kung;;;;;;;;;;;;;
emperor_female;Drottning;;;;;;;;;;;;;
king;Hertig;;;;;;;;;;;;;
king_female;Hertiginna;;;;;;;;;;;;;
duke;Greve;;;;;;;;;;;;;
duke_female;Grevinna;;;;;;;;;;;;;
count;Baron;;;;;;;;;;;;;
count_female;Baronessa;;;;;;;;;;;;;
baron;Mäster;;;;;;;;;;;;;
baron_female;Matron;;;;;;;;;;;;;
emperor_foa;Your Majesty;;;;;;;;;;;;;
king_foa;Your Grace;;;;;;;;;;;;;
duke_foa;My Lord;;;;;;;;;;;;;
count_foa;My Lord;;;;;;;;;;;;;
baron_foa;My Lord;;;;;;;;;;;;;
duke_foa_female;My Lady;;;;;;;;;;;;;
count_foa_female;My Lady;;;;;;;;;;;;;
baron_foa_female;My Lady;;;;;;;;;;;;;
empire_of;Kingdom of;;;;;;;;;;;;;
kingdom_of;Duchy of;;;;;;;;;;;;;
duchy_of;County of;;;;;;;;;;;;;
county_of;Barony of;;;;;;;;;;;;;
barony_of;Estate of;;;;;;;;;;;;;
emperor_title_ruler_consort;King;;;;;;;;;;;;;
emperor_title_ruler_consort_female;Queen Consort;;;;;;;;;;;;;
king_dwarven;Thorakh;;;;;;;;;;;;;
king_female_dwarven;Thorakh;;;;;;;;;;;;;
